sku;fechaIni;fechaFin
48;20110224;20110409
24;20120826;20120926
15;20210506;20210606
22;20210816;20210831
20;20190308;20190328
16;20171207;20180107
42;20170110;20170306
21;20180305;20180405
33;20191108;20191208
5;20200612;20200625
34;20210923;20211020
25;20191114;20191211
27;20160112;20160306
27;20180906;20181007
10;20211021;20211117
34;20190819;20190905
9;20210408;20210505
28;20210901;20210922
36;20180906;20181007
45;20171207;20180107
29;20120927;20121121
24;20170613;20170713
12;20200910;20201007
24;20180406;20180506
12;20200626;20200715
19;20110112;20110223
43;20181008;20181108
24;20180611;20180711
24;20121122;20130111
12;20181130;20181231
50;20190516;20190613
35;20180507;20180611
18;20191108;20191208
42;20140828;20141028
4;20170420;20170520
33;20110224;20110409
14;20190614;20190714
11;20200324;20200414
